Name,BAL @ TB,DEN @ JAX,CAR @ ATL,CHI @ DAL,MIA @ DET,ARI @ MIN,LV @ NO,NE @ NYJ,PIT @ PHI,TEN @ HOU,WAS @ IND,SF @ LAR,NYG @ SEA,GB @ BUF,CIN @ CLE,PTS ?
GORDINFLAS,TB,JAX,ATL,DAL,MIA,MIN,LV,NYJ,PHI,TEN,IND,LAR,NYG,BUF,CIN,46
RULAS 1,BAL,JAX,ATL,DAL,MIA,ARI,LV,NE,PHI,TEN,WAS,SF,NYG,GB,CIN,48
EL GUEY,BAL,DEN,CAR,DAL,MIA,MIN,LV,NYJ,PHI,TEN,IND,LAR,NYG,BUF,CIN,45
AUBREY,BAL,JAX,ATL,DAL,MIA,MIN,LV,NYJ,PHI,TEN,IND,SF,NYG,BUF,CIN,43
WUTANG,BAL,JAX,ATL,DAL,MIA,MIN,NO,NYJ,PIT,TEN,WAS,SF,SEA,BUF,CIN,47
GHOST,BAL,JAX,CAR,DAL,MIA,ARI,NO,NE,PHI,TEN,WAS,SF,SEA,BUF,CIN,47
EL ESTUPID,BAL,JAX,CAR,DAL,MIA,MIN,LV,NYJ,PHI,TEN,IND,LAR,NYG,BUF,CIN,44
RS,TB,JAX,CAR,DAL,MIA,ARI,NO,NE,PHI,TEN,IND,LAR,NYG,BUF,CIN,47
GRAND NATIONAL KID,TB,JAX,ATL,DAL,MIA,MIN,LV,NE,PHI,TEN,IND,SF,SEA,GB,CLE,45
VYNAL,BAL,JAX,CAR,DAL,MIA,ARI,NO,NE,PHI,TEN,WAS,SF,SEA,BUF,CIN,48
CHILAN,TB,DEN,CAR,DAL,MIA,ARI,LV,NYJ,PHI,HOU,IND,SF,SEA,BUF,CIN,50
CALACO,TB,JAX,CAR,DAL,MIA,ARI,LV,NE,PHI,TEN,WAS,LAR,SEA,BUF,CLE,48
FINIKERA,BAL,JAX,CAR,DAL,MIA,ARI,LV,NYJ,PHI,TEN,IND,SF,NYG,BUF,CIN,44
NIGG,BAL,JAX,CAR,DAL,MIA,ARI,LV,NYJ,PHI,TEN,IND,LAR,NYG,BUF,CLE,48
THE KING,TB,DEN,CAR,DAL,MIA,ARI,LV,NE,PHI,TEN,IND,LAR,SEA,BUF,CIN,39
PHX,BAL,JAX,ATL,DAL,MIA,ARI,LV,NYJ,PHI,TEN,WAS,SF,NYG,BUF,CIN,38
SWIFT,TB,DEN,ATL,DAL,MIA,MIN,LV,NYJ,PHI,TEN,IND,LAR,SEA,BUF,CIN,37
JOSH ANFANG,BAL,JAX,ATL,DAL,MIA,MIN,NO,NYJ,PHI,TEN,IND,SF,NYG,BUF,CIN,57
DAVID MARTIN,BAL,JAX,ATL,DAL,MIA,ARI,NO,NE,PHI,TEN,IND,LAR,SEA,BUF,CIN,48
HOT SAUCE,BAL,JAX,ATL,DAL,MIA,MIN,NO,NYJ,PHI,TEN,WAS,LAR,SEA,BUF,CLE,51
NATE,TB,JAX,ATL,DAL,DET,ARI,LV,NYJ,PHI,TEN,IND,SF,SEA,GB,CLE,55
LA DONA,BAL,DEN,CAR,DAL,MIA,MIN,NO,NYJ,PHI,TEN,WAS,SF,SEA,BUF,CLE,46
GRIEFO,BAL,JAX,ATL,DAL,MIA,MIN,NO,NYJ,PHI,TEN,IND,LAR,SEA,BUF,CIN,54.5
RIZZ GOD,BAL,JAX,ATL,DAL,MIA,MIN,LV,NYJ,PHI,TEN,WAS,LAR,SEA,BUF,CIN,37
BANG BANG,TB,DEN,CAR,DAL,MIA,MIN,LV,NYJ,PHI,TEN,IND,SF,NYG,BUF,CLE,50.5
MADNESS,BAL,DEN,ATL,DAL,MIA,ARI,NO,NE,PHI,TEN,WAS,SF,SEA,BUF,CIN,44
BIZO,BAL,JAX,CAR,DAL,MIA,MIN,LV,NYJ,PHI,TEN,WAS,SF,NYG,BUF,CIN,45
COOP,BAL,JAX,ATL,DAL,MIA,MIN,LV,NE,PHI,TEN,IND,SF,SEA,BUF,CIN,47
DYAN,BAL,DEN,ATL,DAL,MIA,MIN,LV,NE,PHI,TEN,WAS,SF,NYG,BUF,CIN,58
NO MO BS,TB,DEN,ATL,DAL,MIA,MIN,LV,NE,PHI,TEN,IND,LAR,NYG,BUF,CIN,51
CAMPBELL,TB,JAX,CAR,DAL,MIA,MIN,NO,NE,PHI,TEN,WAS,SF,NYG,BUF,CIN,49
YEEZUS,TB,JAX,ATL,DAL,MIA,MIN,NO,NE,PHI,TEN,IND,SF,NYG,GB,CIN,48
DILL27,TB,JAX,ATL,DAL,DET,MIN,LV,NE,PHI,TEN,IND,SF,SEA,BUF,CIN,51
CHRIS PARALIEU,BAL,JAX,ATL,DAL,MIA,ARI,LV,NYJ,PIT,TEN,WAS,LAR,NYG,BUF,CIN,47.5
VINNY,TB,DEN,ATL,DAL,MIA,MIN,LV,NE,PHI,HOU,WAS,SF,SEA,BUF,CIN,50
GREY BUSH,TB,JAX,ATL,DAL,MIA,ARI,LV,NE,PHI,TEN,WAS,SF,SEA,BUF,CIN,56
VIOLATOR,BAL,DEN,ATL,DAL,MIA,MIN,LV,NE,PHI,TEN,WAS,SF,NYG,BUF,CIN,49.5
HOLLAND,TB,JAX,ATL,DAL,MIA,MIN,NO,NE,PHI,TEN,WAS,SF,SEA,BUF,CIN,48
PAIGE,TB,DEN,ATL,DAL,MIA,MIN,NO,NE,PHI,TEN,IND,LAR,NYG,BUF,CIN,61
SPORTMOMMA,BAL,DEN,ATL,DAL,MIA,MIN,NO,NYJ,PHI,TEN,IND,SF,NYG,BUF,CIN,47
SNAKES,BAL,JAX,ATL,DAL,MIA,MIN,LV,NYJ,PHI,TEN,IND,LAR,SEA,BUF,CIN,45
RAIDER DAVID,TB,JAX,ATL,DAL,MIA,MIN,LV,NE,PHI,TEN,WAS,LAR,NYG,BUF,CIN,45
J.C,BAL,JAX,ATL,DAL,MIA,MIN,LV,NYJ,PHI,TEN,WAS,LAR,SEA,BUF,CIN,46
BLACK BEARD,BAL,DEN,ATL,DAL,MIA,MIN,NO,NYJ,PHI,TEN,IND,LAR,NYG,BUF,CIN,50.5
BOBO,BAL,JAX,ATL,DAL,MIA,MIN,LV,NYJ,PHI,TEN,IND,SF,NYG,BUF,CIN,58
AMY,TB,JAX,ATL,DAL,MIA,MIN,NO,NE,PHI,TEN,IND,SF,SEA,BUF,CIN,59
DA BEARS,BAL,DEN,CAR,DAL,MIA,ARI,LV,NYJ,PHI,TEN,IND,SF,NYG,BUF,CIN,49
BLACK FALCONS,BAL,JAX,ATL,DAL,MIA,MIN,LV,NE,PHI,TEN,IND,SF,SEA,BUF,CIN,55
JAB,BAL,JAX,ATL,DAL,MIA,MIN,LV,NYJ,PHI,HOU,IND,SF,SEA,BUF,CIN,47
CHUY,BAL,JAX,CAR,DAL,MIA,MIN,LV,NYJ,PHI,TEN,IND,SF,SEA,BUF,CIN,48
NADDYA,BAL,JAX,CAR,DAL,MIA,ARI,LV,NYJ,PHI,TEN,WAS,SF,NYG,BUF,CIN,50
MARIO,BAL,JAX,CAR,DAL,MIA,MIN,LV,NYJ,PHI,TEN,WAS,SF,SEA,BUF,CIN,43
TU PAPI,TB,JAX,ATL,DAL,DET,MIN,LV,NYJ,PHI,HOU,IND,LAR,NYG,BUF,CLE,36
JEMMA,TB,JAX,CAR,DAL,MIA,MIN,NO,NYJ,PHI,TEN,WAS,SF,NYG,BUF,CIN,42
MERK,TB,JAX,ATL,DAL,MIA,MIN,LV,NE,PHI,TEN,WAS,LAR,NYG,BUF,CIN,63
DREW,BAL,JAX,ATL,DAL,MIA,MIN,LV,NE,PHI,TEN,IND,SF,NYG,BUF,CIN,53
JOSE R.M.,TB,JAX,CAR,DAL,MIA,MIN,LV,NYJ,PHI,HOU,IND,LAR,NYG,GB,CIN,45
EL CHAVO,BAL,JAX,ATL,DAL,MIA,MIN,LV,NYJ,PHI,TEN,WAS,SF,NYG,GB,CIN,42
ARMANI,BAL,JAX,CAR,DAL,MIA,MIN,NO,NE,PHI,HOU,IND,LAR,SEA,BUF,CIN,48
HUGO C.,BAL,JAX,ATL,DAL,MIA,MIN,LV,NYJ,PHI,TEN,IND,SF,NYG,BUF,CIN,42
LA GATA,BAL,JAX,CAR,DAL,MIA,MIN,LV,NYJ,PHI,TEN,WAS,SF,NYG,BUF,CIN,45
JT,BAL,JAX,ATL,DAL,MIA,MIN,NO,NE,PHI,TEN,WAS,SF,SEA,BUF,CIN,54
AJ MIKE,BAL,JAX,ATL,DAL,MIA,MIN,LV,NYJ,PHI,TEN,WAS,SF,SEA,BUF,CIN,47
VEE,BAL,JAX,ATL,DAL,MIA,MIN,LV,NYJ,PHI,TEN,WAS,SF,NYG,BUF,CIN,50
JUNIOR D,TB,JAX,CAR,DAL,MIA,MIN,LV,NYJ,PHI,TEN,WAS,LAR,SEA,BUF,CIN,54
MIKE STODDARD,BAL,DEN,CAR,CHI,MIA,MIN,LV,NE,PHI,TEN,WAS,LAR,NYG,BUF,CIN,45
SBNINJA,TB,JAX,ATL,DAL,MIA,ARI,LV,NYJ,PHI,TEN,WAS,LAR,NYG,GB,CIN,52
ESTE VATO,TB,JAX,ATL,DAL,MIA,MIN,LV,NYJ,PHI,TEN,WAS,SF,NYG,GB,CIN,45.5
CHUKAS,BAL,JAX,ATL,DAL,MIA,MIN,LV,NE,PHI,TEN,IND,LAR,SEA,BUF,CIN,55
OSCAR,BAL,JAX,ATL,DAL,MIA,MIN,LV,NYJ,PHI,TEN,IND,LAR,NYG,BUF,CIN,48
